%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
1669909752483523984,17571,1669909752272693479,,-3.3423890987208176,-4.305704271079666,0.9601616799472001,0.09799998510065866,-0.0509999499771387,0.019999978028621062,2.2936490595497355e-65,4.014569322761622e-65,7.976064574968237e-63,-0.004171577772417834,-0.0010178410261261206,0.46274323488738567,-5.229722143052092e-07,1.2978471295777894e-07,6.618295326230288e-07
1669909752583623455,17572,1669909752445499011,,-3.3233170128301217,-4.306046839961372,0.9693993921170163,0.09799998510065866,-0.0509999499771387,0.019999978028621062,0.0,0.0,0.0,-0.006931436664579849,-0.003943321489462193,0.4595473114095814,-5.23385027419791e-07,1.2928229584809655e-07,6.615864721535851e-07
1669909752751526235,17573,1669909752556622405,,-3.309745153959168,-4.309784566260048,0.969899782939218,0.09700002541850401,-0.05899979137479478,0.01899997902350318,-3.67383352925054e-139,-2.874203388531564e-139,-1.398172010764669e-139,-0.008069669933263413,-0.0060208750196331096,0.4588120440548593,-5.233541410313539e-07,1.290346396848088e-07,6.617485406217366e-07
1669909752861865483,17574,1669909752713354515,,-3.2912403114751467,-4.313799539900868,0.9709656966134753,0.09600008214686723,-0.06599927746033409,0.018999979492952183,0.0,0.0,0.0,-0.007798062811371409,-0.009186759558177826,0.4592617198014377,-5.231494176177353e-07,1.2854764395722184e-07,6.620989489071809e-07
1669909753141584207,17575,1669909752834567904,,-3.277291232617239,-4.315801823389537,0.9791397260721756,0.09600008214686723,-0.06599927746033409,0.018999979492952183,-3.4544380051978577e-155,6.213665454172711e-155,-1.3206036801506257e-175,-0.006425649290246582,-0.010516308923156359,0.4602708338241257,-5.227674174200252e-07,1.28427836548848e-07,6.623758132014602e-07
1669909753160266995,17576,1669909752912569621,,-3.268315261812363,-4.317089477145522,0.9807388747724464,0.09600008214686723,-0.06599927746033409,0.018999979492952183,-1.5969771942806445e-77,-1.5430556498797483e-80,-2.777915390912535e-80,-0.0030158939359257175,-0.011597214285169244,0.4622786203329792,-5.22154092277506e-07,1.283952813168173e-07,6.627421496647244e-07
1669909753160269402,17577,1669909752965548296,,-3.2618027652804122,-4.3187872204244675,0.9798202670092248,0.09599998629645558,-0.0679998499960439,0.019999929978580924,3.1604427013227995e-63,2.927193501710206e-64,1.0383492722164028e-61,-0.002499438767188167,-0.011893402935074349,0.46261249599407606,-5.219438798380768e-07,1.2834050357572313e-07,6.628890561059889e-07
1669909753282555219,17578,1669909753118583966,,-3.2434698340338652,-4.322696629057212,0.9838285461758747,0.09599998641139972,-0.0709998257603604,0.020999938775924046,1.8350938368082512e-147,8.334103787405915e-148,3.4491580353947066e-146,0.0030729206143025323,-0.012122717941394967,0.46552788656512334,-5.210430719065109e-07,1.285670073818912e-07,6.633825249468503e-07
1669909753521021816,17579,1669909753256766369,,-3.227079037163849,-4.325868168792542,0.9893344300968684,0.09599998622787605,-0.07199989883451054,0.025999728977846227,1.8974012653554181e-78,2.4571484253440293e-78,-6.353406931873503e-78,0.00895986565404705,-0.01064653523543413,0.46865352627301426,-5.203488661603085e-07,1.2902180636424342e-07,6.639022985666778e-07
1669909753533824570,17580,1669909753378705966,,-3.2126829346199557,-4.328447589746741,0.9979741543978391,0.09599998622787605,-0.07199989883451054,0.025999728977846227,3.874730369099411e-142,8.318837983072828e-143,3.085653462441847e-140,0.01206704459587371,-0.008616415495675156,0.47082912082609774,-5.200243344557375e-07,1.294373437412858e-07,6.642154561115722e-07
